"cuda_device_name","num_system_gpus","num_keys","gpus","num_cpu_threads","data_type","distribution_type","distribution_parameter","chunk_size","num_thread_blocks","device_memory_in_bytes","device_memory_overhead","local_sort_memory_overhead","num_partitioning_passes_needed","sort_duration_breakdown","total_sort_duration"
"Tesla V100-SXM2-32GB",4,1000,"0",64,"uint32","uniform",0,1000,1,128.004,128,128,0,"0.027,0,0.047,0.02",0.094
"Tesla V100-SXM2-32GB",4,1000,"0",64,"uint32","uniform",0,1000,1,128.004,128,128,0,"0.027,0,0.046,0.02",0.094
"Tesla V100-SXM2-32GB",4,1000,"0",64,"uint32","uniform",0,1000,1,128.004,128,128,0,"0.028,0,0.046,0.02",0.094
"Tesla V100-SXM2-32GB",4,1000,"0",64,"uint32","uniform",0,1000,1,128.004,128,128,0,"0.028,0,0.046,0.02",0.095
"Tesla V100-SXM2-32GB",4,1000,"0",64,"uint32","uniform",0,1000,1,128.004,128,128,0,"0.028,0,0.046,0.02",0.094
"Tesla V100-SXM2-32GB",4,1000000,"0",64,"uint32","uniform",0,1000000,82,132,128,128,0,"0.093,0,0.195,0.144",0.434
"Tesla V100-SXM2-32GB",4,1000000,"0",64,"uint32","uniform",0,1000000,82,132,128,128,0,"0.109,0,0.21,0.14",0.459
"Tesla V100-SXM2-32GB",4,1000000,"0",64,"uint32","uniform",0,1000000,82,132,128,128,0,"0.093,0,0.195,0.145",0.434
"Tesla V100-SXM2-32GB",4,1000000,"0",64,"uint32","uniform",0,1000000,82,132,128,128,0,"0.094,0,0.194,0.143",0.433
"Tesla V100-SXM2-32GB",4,1000000,"0",64,"uint32","uniform",0,1000000,82,132,128,128,0,"0.093,0,0.198,0.138",0.429
"Tesla V100-SXM2-32GB",4,1000000000,"0",64,"uint32","uniform",0,1000000000,81381,4128,128,128,0,"55.088,0,65.661,55.33",176.081
"Tesla V100-SXM2-32GB",4,1000000000,"0",64,"uint32","uniform",0,1000000000,81381,4128,128,128,0,"55.067,0,65.163,55.269",175.5
"Tesla V100-SXM2-32GB",4,1000000000,"0",64,"uint32","uniform",0,1000000000,81381,4128,128,128,0,"55.073,0,65.189,55.35",175.613
"Tesla V100-SXM2-32GB",4,1000000000,"0",64,"uint32","uniform",0,1000000000,81381,4128,128,128,0,"55.07,0,64.712,55.308",175.091
"Tesla V100-SXM2-32GB",4,1000000000,"0",64,"uint32","uniform",0,1000000000,81381,4128,128,128,0,"55.064,0,65.032,55.136",175.233
"Tesla V100-SXM2-32GB",4,2000000000,"0",64,"uint32","uniform",0,2000000000,162761,8128,128,128,0,"110.446,0,130.009,110.522",350.978
"Tesla V100-SXM2-32GB",4,2000000000,"0",64,"uint32","uniform",0,2000000000,162761,8128,128,128,0,"110.455,0,130.359,110.514",351.329
"Tesla V100-SXM2-32GB",4,2000000000,"0",64,"uint32","uniform",0,2000000000,162761,8128,128,128,0,"110.467,0,130.307,110.502",351.277
"Tesla V100-SXM2-32GB",4,2000000000,"0",64,"uint32","uniform",0,2000000000,162761,8128,128,128,0,"110.448,0,130.329,110.511",351.289
"Tesla V100-SXM2-32GB",4,2000000000,"0",64,"uint32","uniform",0,2000000000,162761,8128,128,128,0,"110.449,0,130.591,110.5",351.54
"Tesla V100-SXM2-32GB",4,1000,"0,1",64,"uint32","uniform",0,500,1,266.0739,266.0699,256.0002,1,"0.0640,{(0.0350),(0.0241)},2.9510,2.2580,0.0000,0.0630,{(0.0300),(0.0255)},2.9510,2.1490,0.0000",6.5580
"Tesla V100-SXM2-32GB",4,1000,"0,1",64,"uint32","uniform",0,500,1,266.0739,266.0699,256.0002,1,"0.0320,{(0.0210),(0.0220)},3.0050,2.2420,0.0000,0.0310,{(0.0230),(0.0239)},3.0050,2.1440,0.0000",6.5190
"Tesla V100-SXM2-32GB",4,1000,"0,1",64,"uint32","uniform",0,500,1,266.0739,266.0699,256.0002,1,"0.0330,{(0.0230),(0.0217)},3.0970,2.2710,0.0000,0.0330,{(0.0230),(0.0241)},3.0970,2.1450,0.0000",6.6420
"Tesla V100-SXM2-32GB",4,1000,"0,1",64,"uint32","uniform",0,500,1,266.0739,266.0699,256.0002,1,"0.0600,{(0.0230),(0.0223)},3.1490,2.2710,0.0000,0.0600,{(0.0230),(0.0253)},3.1490,2.1350,0.0000",6.7070
"Tesla V100-SXM2-32GB",4,1000,"0,1",64,"uint32","uniform",0,500,1,266.0739,266.0699,256.0002,1,"0.0580,{(0.0240),(0.0227)},2.9490,2.2720,0.0000,0.0330,{(0.0220),(0.0234)},2.9490,2.1910,0.0000",6.5470
"Tesla V100-SXM2-32GB",4,1000,"0,2",64,"uint32","uniform",0,500,1,266.0739,266.0699,256.0002,1,"0.0330,{(0.0240),(0.0232)},3.0340,2.2590,0.0000,0.0360,{(0.0250),(0.0246)},3.0340,2.1800,0.0000",6.6100
